ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
IE-0003_S8_L001-SPAdes	7081864	6728514	286589	20390	4543	0	62218
IE-0004_S9_L001-SPAdes	7081864	6663332	337178	15259	3836	0	77518
IE-0005_S10_L001-SPAdes	7081864	6745960	257101	16820	3788	0	75015
IE-0006_S11_L001-SPAdes	7081864	6722813	262428	17605	3616	0	93007
IE-0007_S1_L001-SPAdes	7081864	6738614	271759	17726	3383	0	68108
IE-0009_S3_L001-SPAdes	7081864	6726773	286992	16617	3583	0	64516
IE-0010_S4_L001-SPAdes	7081864	6763273	252142	15474	3204	0	63245
IE-0011_S5_L001-SPAdes	7081864	6749578	268675	17856	3946	0	59665
IE-0012_S6_L001-SPAdes	7081864	6777117	241807	17749	3727	0	59213
IE-0013_S7_L001-SPAdes	7081864	6939925	97258	9468	4040	0	40641
IE-0014_S8_L001-SPAdes	7081864	6775084	242518	17714	4042	0	60220
IE-0015_S9_L001-SPAdes	7081864	6867197	167625	9047	3772	0	43270
IE-0016_S10_L001-SPAdes	7081864	6828142	191738	14724	3993	0	57991
IE-0017_S11_L001-SPAdes	7081864	6764882	255040	15809	3915	0	58027
IE-0018_S12_L001-SPAdes	7081864	6876025	151844	10071	3789	0	50206
IE-0019_S5-SPAdes	7081864	6844499	174310	9735	3823	0	59232
IE-0021_S7-SPAdes	7081864	6754030	241495	15012	3363	0	82976
IE-0022_S8-SPAdes	7081864	6853523	173028	9711	3892	0	51421
IE-0024_S10-SPAdes	7081864	6747981	245032	17684	3401	0	85450
IE-0026_S8-SPAdes	7081864	6982259	53202	4341	3917	0	42486
IP-0001-8_S1_L001-SPAdes	7081864	6710356	292556	18091	4309	0	74643
IP-0002-6_S2_L001-SPAdes	7081864	6511609	467559	16820	3854	0	98842
IP-0003-4_S3_L001-SPAdes	7081864	6759358	243238	16911	4452	0	74816
IP-0004-2_S4_L001-SPAdes	7081864	6737657	255812	17145	3271	0	85124
IP-0005-9_S5_L001-SPAdes	7081864	6952046	77008	2370	3612	0	49198
IP-0006-7_S6_L001-SPAdes	7081864	6705413	284857	16419	3615	0	87979
IP-0007-5_S7_L001-SPAdes	7081864	6713515	286738	17459	4254	0	77357
IP-0008-3_S8_L001-SPAdes	7081864	6740834	269070	16337	3605	0	68355
IP-0009-1_S9_L001-SPAdes	7081864	6544597	429180	15721	3498	0	104589
IP-0010-9_S10_L001-SPAdes	7081864	6658185	305816	17072	4203	0	113660
IP-0011-7_S2_L001-SPAdes	7081864	6825988	177256	11522	4370	0	74250
IP-0012-5_S3_L001-SPAdes	7081864	6755257	250499	13119	4685	0	71423
IP-0013-3_S4_L001-SPAdes	7081864	6828728	176225	13913	3903	0	73008
IP-0014-1_S5_L001-SPAdes	7081864	6916689	99273	9250	3356	0	62546
IP-0015-8_S6_L001-SPAdes	7081864	6858145	163652	9910	3743	0	56324
IP-0016-6_S7_L001-SPAdes	7081864	6822449	183761	13668	4758	0	70896
IP-0017-4_S8_L001-SPAdes	7081864	6769110	219858	14706	4343	0	88553
IP-0018-2_S9_L001-SPAdes	7081864	6916135	99402	8594	4031	0	62296
IP-0019-0_S10_L001-SPAdes	7081864	6772396	244142	5593	3477	0	61849
IP-0020-8_S11_L001-SPAdes	7081864	6765247	234613	13951	3444	0	78560
IP-0021-6_S1_L001-SPAdes	7081864	6926355	98449	8683	3842	0	53218
IP-0022-4_S2_L001-SPAdes	7081864	6764557	236715	13100	4224	0	76368
IP-0023-2_S3_L001-SPAdes	7081864	6773681	233852	14886	4177	0	70154
IP-0024-0_S4_L001-SPAdes	7081864	6743356	259246	16759	4449	0	74813
IP-0025-7_S5_L001-SPAdes	7081864	6767839	232160	13682	3738	0	78127
IP-0026-5_S6_L001-SPAdes	7081864	6705114	293360	16795	4385	0	79005
IP-0027-3_S7_L001-SPAdes	7081864	6784288	213819	14553	4748	0	79009
IP-0028-1_S8_L001-SPAdes	7081864	6801819	201804	13836	3715	0	74526
IP-0029-9_S9_L001-SPAdes	7081864	6733940	268647	16137	3844	0	75433
IP-0030-7_S10_L001-SPAdes	7081864	7024497	9077	0	0	0	48290
Reference	7081864	7081864	0	0	0	0	0
